,link,referencia,latitud,longitud,direccion,distrito,etapa,fecha_entrega,financiamiento,areas_comunes,tipo,tipologia,piso,dormitorios,area,precio
1483,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3328-vernazza-jesus-maria-lima-lima-toratto-grupo-inmobiliario,VERNAZZA,-12.0844102,-77.0499588,JIRON INCA RIPAC Nº 338,Jesus Maria,En planos,"31 de Diciembre, 2025",BBVA,"['Jardin interior', 'Lobby']",flat,VER-02,Pisos: Entre 2 al 9,2,70.18 m2,"S/ 603,548"
1051,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1301-reserva-748-cercado-de-lima-lima-lima-cantabria,Reserva 748,-12.0718416,-77.03655839999999,Av. Arequipa 748 -768,Cercado de lima,Entrega inmediata,"30 de Agosto, 2022",Banco BCP,"['Área de juegos para niños', 'Areas verdes', 'Boulevard peatonal', 'Jardin interior', 'Lobby', 'Sala Bar', 'Sala de usos Múltiples', 'Terraza', 'Zona de Lavandería']",flat,Tipo 3,"Pisos: 3, 4, 17",1,45.53 m2,"S/ 350,000"
5412,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2978-guadalajara-277-santiago-de-surco-lima-lima-cp-building,GUADALAJARA 277,-12.1329643,-77.0120508,Guadalajara 277,Santiago De Surco,En construcción,"31 de Enero, 2025",Banco BCP,"['Areas verdes', 'Ascensor directo', 'Jardin interior', 'Lobby', 'Parque privado', 'Terraza', 'Video vigilancia', 'Otros']",flat,301,Piso: 3,3,99.00 m2,"$ 225,000"
11,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2706-high-line-santiago-de-surco-lima-lima-tribeca-inmobiliaria,HIGH LINE,-12.1159754,-76.9909747,Av. Caminos del Inca 508 esquina con Jr. Cañón del Pato,Santiago De Surco,En construcción,"31 de Diciembre, 2025",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Ascensor directo', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Piscina', 'Sala Bar', 'Salon Gourmet', 'Techos Ecológicos', 'Terraza', 'Zona de Parrillas']",flat,TIPO 12,Pisos: Entre 4 al 16,1,47.42 m2,"S/ 382,833"
4613,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3358-central-home-chacarilla-santiago-de-surco-lima-lima-ee-inmobiliaria,Central Home Chacarilla,-12.112760461149128,-76.99036037001652,Cl. Monterrey 319,Santiago De Surco,En planos,"31 de Octubre, 2025",Banco BCP,"['Gimnasio', 'Lobby', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas']",flat,Dpto. 1501,Piso: 15,3,76.21 m2,"$ 150,000"
6174,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2658-albamar-view411-jesus-maria-lima-lima-albamar-grupo-inmobiliario,Albamar | View411,-12.088536962418084,-77.05958568957274,"AV. FAUSTINO SANCHEZ CARRIÓN 411, JESÚS MARÍA",Jesus Maria,En construcción,"30 de Noviembre, 2024",Banco Interbank,"['Areas verdes', 'Gimnasio', 'Lobby', 'Sala Bar', 'Sala de usos Múltiples', 'Terraza', 'Video vigilancia', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,TIPO 4,"Pisos: 4, 6, 8",2,61.90 m2,"S/ 472,300"
2218,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2302-marsano-2670-miraflores-lima-lima-tale-inmobiliaria,MARSANO 2670,-12.1265986,-77.0030767,Av Marsano 2670,Miraflores,Entrega inmediata,"31 de Julio, 2024",BBVA,"['Lobby', 'Piscina', 'Sala Bar', 'Zona de Parrillas', 'Otros']",flat,101,Piso: 1,3,95.95 m2,"$ 191,000"
781,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2652-larco-791-miraflores-lima-lima-v&v-grupo-inmobiliario,LARCO 791,-12.1258119,-77.0293327,Av. Larco 791 - Miraflores,Miraflores,En construcción,"31 de Diciembre, 2025","Banco BCP, Otros","['Gimnasio', 'Lobby', 'Piscina', 'Sala Bar', 'Salon Gourmet', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,Tipo T1-X04,Pisos: 7 y 9,2,76.38 m2,"S/ 809,000"
1640,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3336-prada-jesus-maria-lima-lima-maxx-grupo-inmobiliario,PRADA,-12.0795016,-77.0499914,AV TIZON Y BUENO 639,Jesus Maria,En planos,"21 de Diciembre, 2025",Banco Scotiabank,"['Jardin interior', 'Lobby', 'Sala de usos Múltiples', 'Terraza', 'Video vigilancia', 'Zona de Parrillas']",flat,PISO 1 - 101,Piso: 1,3,99.00 m2,"S/ 667,000"
2995,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1929-edificio-eco-28-miraflores-lima-lima-fundamenta,Edificio Eco 28,-12.127501316980656,-77.02745936242582,Av. 28 de Julio 639,Miraflores,Entrega inmediata,"30 de Junio, 2023",Banco BCP,"['Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Techo Panorámico', 'Zona de Lavandería', 'Zona de Parrillas']",flat,Tipologia 3,Piso: 3,3,102.93 m2,"S/ 1,136,800"
5063,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2730-emerald-pueblo-libre-2-pueblo-libre-lima-lima-fai-inmobiliaria,Emerald Pueblo Libre 2,-12.076693493713218,-77.0567324978256,Calle Jose Ugarteche 103 Pueblo Libre,Pueblo Libre,En construcción,"31 de Octubre, 2025",Banco BCP,"['Jardin de niños', 'Lobby', 'Sala Bar', 'Sala de Niños', 'Terraza', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",flat,X6,"Pisos: 5, 6, 7, 8, 9",3,69.80 m2,"S/ 467,818"
1186,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2198-amalfi-san-miguel-lima-lima-paz,Amalfi,-12.0808219,-77.10702959999999,Av. Costanera 2558,San Miguel,En construcción,"31 de Julio, 2024",Banco Pichincha,"['Área de juegos para niños', 'Areas verdes', 'Ascensor directo', 'Boulevard peatonal', 'Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de Internet', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,7,Pisos: Entre 1 al 16,3,74.37 m2,"S/ 497,607"
5256,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3010-lima-barranco-lima-lima-capac-asociados,LIMA,-12.1442897,-77.0231719,Av. San Martín 217,Barranco,En planos,"30 de Septiembre, 2025",Financiamiento Propio,"['Lobby', 'Otros']",flat,X07,Pisos: 3 y 5,1,43.25 m2,"S/ 468,710"
6059,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2830-entrenos-magdalena-del-mar-lima-lima-promsal,Entrenos,-12.0923286,-77.0721377,jr tacna 655,Magdalena Del Mar,En construcción,"30 de Septiembre, 2025",Banco BCP,"['Área de juegos para niños', 'Areas verdes', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Sala de Internet', 'Terraza', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",flat,303,Piso: 3,2,91.87 m2,"S/ 520,019"
689,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3347-maximo-abril-jesus-maria-lima-lima-abril-grupo-inmobiliario,Máximo Abril,-12.071303,-77.0396927,Calle Máximo Abril 576,Jesus Maria,En planos,"30 de Noviembre, 2026",Banco Scotiabank,"['Areas verdes', 'Gimnasio', 'Lobby', 'Sala de Niños', 'Sala de usos Múltiples', 'Zona de Parrillas']",flat,MAX - P04,"Pisos: 10, 12, 14, 16",1,36.31 m2,"S/ 250,731"
