,link,referencia,latitud,longitud,direccion,distrito,etapa,fecha_entrega,financiamiento,areas_comunes,tipo,tipologia,piso,dormitorios,area,precio
2083,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2740-olmedo-bre%C3%B1a-lima-lima-proyec-inmobiliaria,OLMEDO,-12.060307539536884,-77.04833574046334,Jr. Olmedo 463,Breña,En construcción,"31 de Diciembre, 2024",Banco BCP,"['Areas verdes', 'Jardin interior', 'Lobby', 'Sala de usos Múltiples', 'Techo Panorámico', 'Terraza', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",flat,1103-B,Piso: 11,2,73.58 m2,"S/ 385,020"
3317,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2418-simon-pueblo-libre-lima-lima-sembra-inmobiliaria,Simón,-12.07210452047598,-77.06962609343464,Avenida Simón Bolívar 1451,Pueblo Libre,En construcción,"31 de Diciembre, 2024",Banco BANBIF,"['Gimnasio', 'Piscina', 'Sala de Niños', 'Sala de usos Múltiples', 'Zona de Parrillas', 'Otros']",flat,4,"Pisos: 3, 5, 8, 10",1,37.62 m2,"S/ 257,500"
2578,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2164-thu-miraflores-lima-lima-cantabria,Thu,-12.117073618264442,-77.04038586442256,Calle Enrique Palacios 1133,Miraflores,En construcción,"30 de Mayo, 2024","BBVA, Otros","['Areas verdes', 'Boulevard peatonal', 'Cuarto servicio', 'Jardin interior', 'Lobby', 'Parque privado', 'Piscina', 'Sala Bar', 'Sala de Niños', 'Sala de usos Múltiples', 'Techo Panorámico', 'Techos Ecológicos', 'Terraza', 'Zona de Parrillas']",flat,TIPO 2,Pisos: 2 y 3,2,99.93 m2,"S/ 880,000"
6248,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2622-park-living-pueblo-libre-lima-lima-ms-inmobiliaria,PARK LIVING,-12.0734473,-77.0698925,"Parque El Carmen N°1552-1554, Pueblo Libre",Pueblo Libre,Entrega inmediata,"30 de Abril, 2024",Banco Scotiabank,"['Área de juegos para niños', 'Karaoke', 'Lobby', 'Sala de Niños', 'Terraza', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",flat,TIPO 3,"Pisos: 2, 10, 11",3,74.00 m2,"S/ 495,000"
3312,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2811-braganza-santiago-de-surco-lima-lima-ee-inmobiliaria,Braganza,-12.131536855600812,-77.00102819873015,Cl. Bárbara de Braganza N° 124,Santiago De Surco,En construcción,"30 de Septiembre, 2024",Banco BCP,"['Areas verdes', 'Lobby', 'Terraza']",duplex,DÚPLEX 701,Piso: 7,3,233.14 m2,"$ 368,000"
596,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3398-alicanto-jesus-maria-lima-lima-grupo-cygnus,Alicanto,-12.0706,-77.04705,Jr. General Canterac 279 283 Jesús María,Jesus Maria,En planos,"31 de Marzo, 2026",Banco BCP,"['Área de juegos para niños', 'Gimnasio', 'Lobby', 'Sala de usos Múltiples', 'Zona de Parrillas', 'Otros']",duplex,Tipo 1506,Piso: 15,3,132.28 m2,"S/ 841,621"
4097,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1478-look-and-feel-santiago-de-surco-lima-lima-grupo-t&c,LOOK AND FEEL,-12.1026544,-76.9705191,"Avenida Encalada 1344, Surco",Santiago De Surco,Entrega inmediata,"30 de Junio, 2024",Financiamiento Propio,"['Área de juegos para niños', 'Boulevard peatonal', 'Gimnasio', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de Niños', 'Salon Gourmet', 'Terraza', 'Video vigilancia', 'Zona de Parrillas']",flat,Tipo 4,Piso: 14,3,125.44 m2,"S/ 993,767"
5488,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3323-aramburu-living-san-isidro-lima-lima-grupo-t&c,ARAMBURU LIVING,-12.102394,-77.0248317,Av. Aramburú 535. San Isidro,San Isidro,En planos,"30 de Abril, 2027",BBVA,"['Gimnasio', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de usos Múltiples', 'Salon Gourmet', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,10B,Pisos: Entre 14 al 22,2,58.47 m2,"S/ 432,378"
171,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3184-anturio-lince-lima-lima-abril-grupo-inmobiliario,Anturio,-12.0904655,-77.03665360000001,Jr. Mariscal Miller 2648,Lince,En construcción,"31 de Mayo, 2025",BBVA,"['Lobby', 'Otros']",flat,ANT 101,Piso: 1,3,103.90 m2,"$ 288,185"
5900,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2065-pinos-san-isidro-lima-lima-actual,Pinos,-12.0954457,-77.0365496,Calle Los Pinos 561,San Isidro,Entrega inmediata,"31 de Diciembre, 2023",Banco BCP,"['Gimnasio', 'Lobby', 'Sala de usos Múltiples', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,A - SS03,Piso:,1,53.27 m2,"S/ 575,900"
5688,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2064-toscana-lince-lima-lima-toratto-grupo-inmobiliario,TOSCANA,-12.0902366,-77.0357975,Jr. Alayza y Roel N° 2616,Lince,Entrega inmediata,"31 de Agosto, 2023","BBVA, Otros","['Jardin interior', 'Lobby', 'Video vigilancia']",flat,TIPO G,Piso: 1,2,67.80 m2,"S/ 598,723"
5118,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3426-eco-style-etapa-2-magdalena-del-mar-lima-lima-fundamenta,Eco Style - Etapa 2,-12.0946441,-77.0559707,Javier Prado Oeste 2361,Magdalena Del Mar,En planos,"31 de Enero, 2027",Banco Interbank,"['Areas verdes', 'Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de usos Múltiples', 'Salon Gourmet', 'Zona de Lavandería', 'Zona de Parrillas']",flat,7,Piso: 2,2,72.76 m2,"S/ 557,865"
5253,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3010-lima-barranco-lima-lima-capac-asociados,LIMA,-12.1442897,-77.0231719,Av. San Martín 217,Barranco,En planos,"30 de Septiembre, 2025",Financiamiento Propio,"['Lobby', 'Otros']",flat,X04,"Pisos: 3, 4, 5",2,77.25 m2,"S/ 785,914"
4805,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3327-colon-524-miraflores-lima-lima-constructora-magnifica,Colón 524,-12.1282973,-77.031466,Colón 524,Miraflores,En construcción,"31 de Diciembre, 2025",Banco BCP,"['Areas verdes', 'Ascensor directo', 'Gimnasio', 'Jardin interior', 'Lobby', 'Sala de usos Múltiples', 'Otros']",flat,TIPO X01,Pisos: 3 y 7,3,102.90 m2,"$ 277,300"
2913,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3173-sena-san-borja-lima-lima-ee-inmobiliaria,Sena,-12.1013995,-77.00330149999999,"Av. San Borja Sur 546, San Borja",San Borja,En construcción,"28 de Febrero, 2025",Banco BCP,['Lobby'],flat,Tipo 03,"Pisos: 2, 3, 4, 5",3,91.02 m2,"$ 176,000"
4156,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2725-distrito-34-etapa-2-surquillo-lima-lima-grupo-lar,DISTRITO 34 - ETAPA 2,-12.1040361,-77.0184555,Av. República de Panamá 4077,Surquillo,En construcción,"31 de Diciembre, 2025",Banco BCP,"['Área de juegos para niños', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de cine', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,B7,Pisos: 12 y 13,2,57.82 m2,"S/ 425,724"
4067,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2393-lombardia-lince-lima-lima-toratto-grupo-inmobiliario,LOMBARDIA,-12.0813968,-77.03940030000001,Jr. Manuel Gómez N° 390,Lince,En construcción,"31 de Diciembre, 2024",BBVA,"['Área de juegos para niños', 'Lobby', 'Otros']",flat,TIPO F',"Pisos: 7, 9, 10, 11, 12",2,77.55 m2,"S/ 545,708"
3856,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3080-millet-173-san-borja-lima-lima-grupo-ba,Millet 173,-12.090520788609558,-76.99169397131841,Jr. Millet 173,San Borja,En construcción,"31 de Marzo, 2025",Banco BCP,"['Lobby', 'Otros']",duplex,TIPO G,Piso: 5,3,179.60 m2,"S/ 1,244,260"
3377,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3255-clovis-620-pueblo-libre-lima-lima-jopesa,Clovis 620,-12.0728997,-77.0666018,Jr. Clovis 620-622,Pueblo Libre,En planos,"31 de Diciembre, 2025",Banco Interbank,"['Sala de usos Múltiples', 'Zona de Parrillas', 'Otros']",flat,X03-1,Piso: 1,2,85.25 m2,"S/ 502,785"
1926,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3068-centric-surquillo-lima-lima-ghs-constructora%C2%A0,CENTRIC,-12.102837,-77.02138459999999,CALLE LOS PAUJILES 181-183,Surquillo,En construcción,"30 de Mayo, 2025",Banco Interbank,"['Área de juegos para niños', 'Areas verdes', 'Jardin interior', 'Lobby', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,TIPO 5,Pisos: Entre 2 al 8,3,72.48 m2,"S/ 568,855"
3150,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2774-faisanes-343-chorrillos-lima-lima-actual,Faisanes 343,-12.1778141,-76.9999883,Av. Faisanes 343,Chorrillos,En construcción,"31 de Agosto, 2025",Banco BCP,"['Área de juegos para niños', 'Areas verdes', 'Gimnasio', 'Jardin de niños', 'Jardin interior', 'Lobby', 'Parque privado', 'Sala Bar', 'Sala de Internet', 'Sala de Niños', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,TIPO B105,Piso: 1,2,89.58 m2,"S/ 412,700"
2152,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3242-new-one-jesus-maria-lima-lima-granadero-inmobiliaria,New One,-12.07389332682638,-77.03978922458735,"Av 6 de agosto 409, Jesús María",Jesus Maria,En construcción,"31 de Mayo, 2025",Banco Interbank,"['Gimnasio', 'Jardin interior', 'Lobby', 'Sala de Internet', 'Sala de usos Múltiples', 'Terraza', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",flat,101,Piso: 1,1,45.97 m2,"S/ 397,896"
3373,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3357-samoa-santiago-de-surco-lima-lima-ee-inmobiliaria,Samoa,-12.121357906185656,-76.9860847266228,Jr. Batalla de San Juan N° 780,Santiago De Surco,En planos,"31 de Octubre, 2025",Banco BCP,['Lobby'],flat,Tipo 02,"Pisos: 2, 3, 4, 5, 6",2,71.18 m2,"$ 145,000"
4399,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3360-horne-137-barranco-lima-lima-calicanto,Horne 137,-12.1383383,-77.018517,Calle Enrique del Horne 137,Barranco,En planos,"31 de Diciembre, 2025",Banco BCP,"['Areas verdes', 'Jardin interior', 'Lobby', 'Sala de usos Múltiples', 'Video vigilancia', 'Zona de Parrillas']",flat,SX05,Piso:,1,48.44 m2,"$ 93,135"
2428,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2105-midway-magdalena-del-mar-lima-lima-casaideal-inmobiliaria,MIDWAY,-12.087195169127206,-77.06240779846934,"Av. Pershing N° 162, Magdalena del Mar",Magdalena Del Mar,Entrega inmediata,"31 de Octubre, 2023",Banco BCP,"['Areas verdes', 'Cuarto servicio', 'Gimnasio', 'Jardin interior', 'Lobby', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,x03,Pisos: 11 y 12,3,64.05 m2,"S/ 524,800"
4065,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2393-lombardia-lince-lima-lima-toratto-grupo-inmobiliario,LOMBARDIA,-12.0813968,-77.03940030000001,Jr. Manuel Gómez N° 390,Lince,En construcción,"31 de Diciembre, 2024",BBVA,"['Área de juegos para niños', 'Lobby', 'Otros']",flat,TIPO D',Pisos: Entre 3 al 12,2,64.84 m2,"S/ 461,186"
6163,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3310-miramar-etapa-iii-san-bartolo-lima-lima-octagon,Miramar Etapa III,-12.382147633735247,-76.78467039739293,Urbanización Casco Urbano San Bartolo Manzana Z 2 Lote 1,San Bartolo,En planos,"30 de Septiembre, 2026",BBVA,"['Área de juegos para niños', 'Club House', 'Gimnasio', 'Piscina', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,Tipo 2,"Pisos: 3, 6, 7, 8, 9",2,55.32 m2,"S/ 352,000"
539,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3186-helio-santa-beatriz-cercado-de-lima-lima-lima-padova,HELIO SANTA BEATRIZ,-12.0759378,-77.0299687,Enrique Villar 830 Cercado de Lima.,Cercado de lima,En construcción,"01 de Octubre, 2026",Banco Interbank,"['Gimnasio', 'Jardin interior', 'Lobby', 'Parque privado', 'Sala Bar', 'Sala de Internet', 'Sala de usos Múltiples', 'Salon Gourmet', 'Terraza', 'Video vigilancia', 'Zona de Parrillas']",flat,X08,Pisos: Entre 4 al 15,1,35.01 m2,"S/ 249,021"
2821,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3403-aliaga-442-magdalena-del-mar-lima-lima-vive-plm,ALIAGA 442,-12.0953729,-77.0593799,JUAN DE ALIAGA 442,Magdalena Del Mar,En planos,"31 de Diciembre, 2025",BBVA,"['Área de juegos para niños', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de Niños', 'Sala de usos Múltiples', 'Salon Gourmet', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,T 18E,Piso: 8,3,105.39 m2,"S/ 833,902"
6405,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2635-art-28-miraflores-lima-lima-edifica,ART 28,-12.1282224,-77.0255233,Av. 28 Julio 815 Miraflores,Miraflores,En construcción,"31 de Enero, 2025",Financiamiento Propio,"['Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala Bar', 'Zona de Lavandería', 'Otros']",flat,26,Piso: 1,1,51.51 m2,"S/ 551,902"
10,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2706-high-line-santiago-de-surco-lima-lima-tribeca-inmobiliaria,HIGH LINE,-12.1159754,-76.9909747,Av. Caminos del Inca 508 esquina con Jr. Cañón del Pato,Santiago De Surco,En construcción,"31 de Diciembre, 2025",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Ascensor directo', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Piscina', 'Sala Bar', 'Salon Gourmet', 'Techos Ecológicos', 'Terraza', 'Zona de Parrillas']",flat,TIPO 11,Pisos: Entre 2 al 15,1,54.34 m2,"S/ 532,267"
846,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3318-gaviotas-176-chorrillos-lima-lima-v&v-grupo-inmobiliario,Gaviotas 176,-12.182188,-77.007618,"Av. Las Gaviotas 176, Chorrillos 15064",Chorrillos,En planos,"31 de Mayo, 2027",Otros,"['Área de juegos para niños', 'Areas verdes', 'Gimnasio', 'Jardin interior', 'Lobby', 'Parque privado', 'Sala de Niños', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,T2X04,Pisos: Entre 3 al 14,3,66.58 m2,"S/ 314,000"
274,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3372-residencial-lobo-san-borja-lima-lima-grupo-dicon,RESIDENCIAL LOBO,-12.106591,-76.9846506,Jr Hrno Lobo N°511 Esquina con Av Velasco Astete,San Borja,En planos,"31 de Diciembre, 2025",Banco Scotiabank,"['Areas verdes', 'Lobby', 'Otros']",duplex,TIPO 18-D,Piso: 5,3,185.34 m2,"$ 318,471"
917,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3027-qantua-cercado-de-lima-lima-lima-grupo-lar,Qantua,-12.0564006,-77.035479,jr lampa 1237,Cercado de lima,En planos,"31 de Diciembre, 2025","BBVA, Otros","['Área de juegos para niños', 'Areas verdes', 'Lobby', 'Parque privado', 'Sala de usos Múltiples', 'Otros']",flat,2 - C,Piso: 2,2,60.94 m2,"S/ 446,168"
848,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3318-gaviotas-176-chorrillos-lima-lima-v&v-grupo-inmobiliario,Gaviotas 176,-12.182188,-77.007618,"Av. Las Gaviotas 176, Chorrillos 15064",Chorrillos,En planos,"31 de Mayo, 2027",Otros,"['Área de juegos para niños', 'Areas verdes', 'Gimnasio', 'Jardin interior', 'Lobby', 'Parque privado', 'Sala de Niños', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,T2X06,Pisos: Entre 3 al 14,2,56.80 m2,"S/ 286,000"
2087,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2047-roosevelt-6000-departamentos-miraflores-lima-lima-marcan,Roosevelt 6000 - Departamentos,-12.1233719092039,-77.01793227785672,Av. Roosevelt 6000,Miraflores,Entrega inmediata,"30 de Noviembre, 2023",Banco BCP,"['Gimnasio', 'Lobby', 'Piscina', 'Sala de usos Múltiples', 'Terraza', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",duplex,DUPLEX-X03,Piso: 16,3,195.03 m2,"S/ 1,287,000"
1648,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3336-prada-jesus-maria-lima-lima-maxx-grupo-inmobiliario,PRADA,-12.0795016,-77.0499914,AV TIZON Y BUENO 639,Jesus Maria,En planos,"21 de Diciembre, 2025",Banco Scotiabank,"['Jardin interior', 'Lobby', 'Sala de usos Múltiples', 'Terraza', 'Video vigilancia', 'Zona de Parrillas']",flat,TIPO 3 PAR,"Pisos: 2, 4, 8",3,88.00 m2,"S/ 654,000"
1299,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3407-altaris-miraflores-lima-lima-capac-asociados,ALTARIS,-12.1255357,-77.00375249999999,av. tomás marsano 2550,Miraflores,En planos,"31 de Diciembre, 2026",Financiamiento Propio,"['Gimnasio', 'Lobby', 'Sala de usos Múltiples', 'Techo Panorámico', 'Terraza', 'Zona de Parrillas']",flat,X06B,Pisos: Entre 3 al 15,1,53.50 m2,"S/ 423,000"
115,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1628-residencial-frutales-la-molina-lima-lima-cimentares-grupo-inmobiliario,RESIDENCIAL FRUTALES,-12.0701717,-76.9644935,Av los frutales Nº 815Mz NLote 18,La Molina,Entrega inmediata,"15 de Septiembre, 2019",Financiamiento Propio,"['Cuarto servicio', 'Jardin interior', 'Lobby']",flat,TIPO A,Piso: 3,3,125.18 m2,"$ 240,000"
1826,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2647-alameda-central-condominio-cercado-de-lima-lima-lima-besco,Alameda Central Condominio,-12.0475328,-77.0566513,"Av. Oscar R. Benavides 1140 (Ex Av. Colonial), esquina con Jr. Gaspar Hernandez, Cercado de Lima",Cercado de lima,En construcción,"28 de Febrero, 2025",Banco BCP,"['Área de juegos para niños', 'Areas verdes', 'Boulevard peatonal', 'Cancha de Fulbito', 'Club House', 'Cuarto servicio', 'Jardin interior', 'Lobby', 'Parque privado', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,TORRE 3-FLAT-TIPO 1,Piso: 13,3,65.60 m2,"S/ 257,000"
1536,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2852-astromelia-jesus-maria-lima-lima-abril-grupo-inmobiliario,Astromelia,-12.0831544,-77.0468568,Av. Salaverry 1880,Jesus Maria,En planos,"31 de Diciembre, 2025",Banco Interbank,"['Área de juegos para niños', 'Gimnasio', 'Lobby', 'Piscina', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas']",flat,AST-X06C,Piso: 28,3,78.78 m2,"S/ 539,212"
3850,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2251-invent-cuba-jesus-maria-lima-lima-invent,Invent Cuba,-12.0749496,-77.04648759999999,Av. Cuba 1142,Jesus Maria,En construcción,"31 de Diciembre, 2024",Banco BANBIF,"['Área de juegos para niños', 'Areas verdes', 'Gimnasio', 'Jardin interior', 'Lobby', 'Sala Bar', 'Sala de Internet', 'Sala de Niños', 'Sala de usos Múltiples', 'Video vigilancia', 'Zona de Lavandería', 'Zona de Parrillas']",duplex,2,Piso: 22,3,140.43 m2,"S/ 904,468"
6433,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1993-s14-apartments-cercado-de-lima-lima-lima-urbana-per%C3%BA,S14 Apartments,-12.079079,-77.0350193,Avenida Arequipa N°1437,Cercado de lima,En construcción,"30 de Septiembre, 2024",Banco BANBIF,"['Jardin interior', 'Lobby', 'Sala de usos Múltiples', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,X10,Piso: 9,2,66.00 m2,"S/ 512,785"
6408,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2635-art-28-miraflores-lima-lima-edifica,ART 28,-12.1282224,-77.0255233,Av. 28 Julio 815 Miraflores,Miraflores,En construcción,"31 de Enero, 2025",Financiamiento Propio,"['Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala Bar', 'Zona de Lavandería', 'Otros']",flat,30,Piso: 2,2,66.41 m2,"S/ 765,390"
5884,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3342-alborada-iii-san-miguel-lima-lima-grupo-mg,ALBORADA III,-12.0866944,-77.0911878,Av. La paz 839,San Miguel,En planos,"31 de Diciembre, 2025",Banco BCP,"['Gimnasio', 'Lobby', 'Sala de Niños', 'Terraza', 'Zona de Parrillas', 'Otros']",duplex,A5f,Piso: 18,2,69.20 m2,"S/ 336,660"
1465,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3214-boulevard-icaro-chorrillos-lima-lima-capac-asociados,BOULEVARD ÍCARO,-12.1766666,-77.00124029999999,Calle ícaro 136,Chorrillos,En planos,"31 de Diciembre, 2026",Financiamiento Propio,"['Jardin interior', 'Lobby', 'Zona de Parrillas']",flat,AX06B,"Pisos: 2, 4, 6",3,65.25 m2,"S/ 361,183"
3378,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3255-clovis-620-pueblo-libre-lima-lima-jopesa,Clovis 620,-12.0728997,-77.0666018,Jr. Clovis 620-622,Pueblo Libre,En planos,"31 de Diciembre, 2025",Banco Interbank,"['Sala de usos Múltiples', 'Zona de Parrillas', 'Otros']",flat,X01,"Pisos: 4, 5, 6, 7",3,72.42 m2,"S/ 509,860"
2953,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3274-magnolia-magdalena-del-mar-lima-lima-abril-grupo-inmobiliario,Magnolia,-12.0916325,-77.0561863,Jr.Flora Tristán 485,Magdalena Del Mar,En planos,"31 de Diciembre, 2025",Banco Scotiabank,"['Areas verdes', 'Jardin interior', 'Lobby', 'Sala Bar', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas']",flat,MAG-X04A,"Pisos: 2, 3, 4",3,79.89 m2,"S/ 789,256"
2161,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3242-new-one-jesus-maria-lima-lima-granadero-inmobiliaria,New One,-12.07389332682638,-77.03978922458735,"Av 6 de agosto 409, Jesús María",Jesus Maria,En construcción,"31 de Mayo, 2025",Banco Interbank,"['Gimnasio', 'Jardin interior', 'Lobby', 'Sala de Internet', 'Sala de usos Múltiples', 'Terraza', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",duplex,1106,Piso: 11,3,82.85 m2,"S/ 602,964"
292,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1974-invent-chorrillos-chorrillos-lima-lima-invent,Invent Chorrillos,-12.1661626,-77.0245367,Calle José Olaya 225,Chorrillos,Entrega inmediata,"29 de Febrero, 2024",Banco Interbank,"['Área de juegos para niños', 'Areas verdes', 'Gimnasio', 'Lobby', 'Sala Bar', 'Sala de Internet', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Video vigilancia', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,Tipo 15,Pisos: Entre 3 al 12,1,57.44 m2,"S/ 361,778"
1162,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3289-marina-city-center-san-miguel-lima-lima-inverdes,Marina City Center,-12.07574716789446,-77.09247194744486,Av. Rafael Escardo Aguirre N° 530,San Miguel,En construcción,"31 de Diciembre, 2025",BBVA,"['Lobby', 'Parque privado', 'Piscina', 'Sala Bar', 'Salon Gourmet', 'Terraza', 'Video vigilancia', 'Zona de Parrillas']",flat,Tipo 10F,Pisos: 19 y 20,3,91.45 m2,"S/ 640,077"
4011,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2490-sonhos-miraflores-lima-lima-inarco,SONHOS,-12.1139411,-77.0296642,"Av. Arequipa 4821, Miraflores",Miraflores,En planos,"30 de Septiembre, 2025",Banco Interbank,"['Gimnasio', 'Lobby', 'Piscina', 'Sala de usos Múltiples', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,TIPO 1404,Piso: 14,1,62.51 m2,"S/ 577,300"
3838,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3221-casa-barranco-195-barranco-lima-lima-gdc-inmobiliaria,Casa Barranco 195,-12.1409252,-77.0201024,Bustamante 195,Barranco,En planos,"30 de Junio, 2025",Banco Scotiabank,"['Jardin interior', 'Lobby', 'Sala de usos Múltiples', 'Zona de Parrillas']",flat,X011,Piso: 8,2,62.87 m2,"S/ 614,835"
2299,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3260-parque-el-rosal-santiago-de-surco-lima-lima-ee-inmobiliaria,Parque El Rosal,-12.13059282199658,-77.01323722680347,Jr. Juan Santos Atahualpa 150,Santiago De Surco,En planos,"31 de Julio, 2025",Banco BCP,['Lobby'],flat,Dpto. 103,Piso: 1,2,104.14 m2,"$ 191,000"
693,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3319-san-borja-sur-985-san-borja-lima-lima-ee-inmobiliaria,San Borja Sur 985,-12.1000763,-76.9932627,Av. San Borja Sur N° 985,San Borja,En planos,"31 de Octubre, 2025",Banco BCP,"['Gimnasio', 'Lobby', 'Zona de Lavandería', 'Zona de Parrillas']",flat,Tipo 01,Pisos: Entre 2 al 12,2,61.82 m2,"S/ 489,000"
4575,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3358-central-home-chacarilla-santiago-de-surco-lima-lima-ee-inmobiliaria,Central Home Chacarilla,-12.112760461149128,-76.99036037001652,Cl. Monterrey 319,Santiago De Surco,En planos,"31 de Octubre, 2025",Banco BCP,"['Gimnasio', 'Lobby', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas']",flat,Dpto. 703,Piso: 7,3,90.82 m2,"$ 180,000"
3853,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3080-millet-173-san-borja-lima-lima-grupo-ba,Millet 173,-12.090520788609558,-76.99169397131841,Jr. Millet 173,San Borja,En construcción,"31 de Marzo, 2025",Banco BCP,"['Lobby', 'Otros']",flat,TIPO D,"Pisos: 2, 3, 4",3,90.10 m2,"S/ 740,649"
6208,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3295-la-joya-132-santiago-de-surco-lima-lima-grupo-chacarilla-sur,LA JOYA 132,-12.114564730737731,-76.99446201986294,"Calle La Joya 132, Surco",Santiago De Surco,En planos,"30 de Agosto, 2025",Banco Interbank,['Lobby'],flat,D,"Pisos: 2, 4, 5",3,108.00 m2,"$ 225,000"
